id,domain,complexity,question,gold_answer,expected_citations,expected_keywords
Q21,FSMA,basic,Sample basic question 21 for FSMA?,"Gold-standard answer for FSMA, basic level.",FSMA 2000 s.19,regulated activity|authorised|exempt
Q22,COMP,basic,Sample basic question 22 for COMP?,"Gold-standard answer for COMP, basic level.",COMP 10.2,"FSCS|£85,000|deposit protection"
Q23,COBS,basic,Sample basic question 23 for COBS?,"Gold-standard answer for COBS, basic level.",COBS 4.2.1R,financial promotion|clear|misleading
Q24,ICOBS,basic,Sample basic question 24 for ICOBS?,"Gold-standard answer for ICOBS, basic level.",ICOBS 7,insurance|cooling off|cancellation
Q25,PSR,basic,Sample basic question 25 for PSR?,"Gold-standard answer for PSR, basic level.",PSR 2017 reg.77,unauthorised payment|liability|refund
Q26,MLR,intermediate,Sample intermediate question 26 for MLR?,"Gold-standard answer for MLR, intermediate level.",MLR 2017 reg.27,CDD|EDD|due diligence
Q27,RAO,intermediate,Sample intermediate question 27 for RAO?,"Gold-standard answer for RAO, intermediate level.",RAO 2001 art.25,regulated activity|arranging|advising
Q28,UK MAR,intermediate,Sample intermediate question 28 for UK MAR?,"Gold-standard answer for UK MAR, intermediate level.",UK MAR art.17,inside information|disclosure|issuer
Q29,PRIN,intermediate,Sample intermediate question 29 for PRIN?,"Gold-standard answer for PRIN, intermediate level.",PRIN 12,Consumer Duty|fair value|good outcomes
Q30,DISP,intermediate,Sample intermediate question 30 for DISP?,"Gold-standard answer for DISP, intermediate level.",DISP 1.6,complaint|ombudsman|final response
Q31,FSMA,intermediate,Sample intermediate question 31 for FSMA?,"Gold-standard answer for FSMA, intermediate level.",FSMA 2000 s.19,regulated activity|authorised|exempt
Q32,COMP,intermediate,Sample intermediate question 32 for COMP?,"Gold-standard answer for COMP, intermediate level.",COMP 10.2,"FSCS|£85,000|deposit protection"
Q33,COBS,intermediate,Sample intermediate question 33 for COBS?,"Gold-standard answer for COBS, intermediate level.",COBS 4.2.1R,financial promotion|clear|misleading
Q34,ICOBS,intermediate,Sample intermediate question 34 for ICOBS?,"Gold-standard answer for ICOBS, intermediate level.",ICOBS 7,insurance|cooling off|cancellation
Q35,PSR,intermediate,Sample intermediate question 35 for PSR?,"Gold-standard answer for PSR, intermediate level.",PSR 2017 reg.77,unauthorised payment|liability|refund
Q36,MLR,intermediate,Sample intermediate question 36 for MLR?,"Gold-standard answer for MLR, intermediate level.",MLR 2017 reg.27,CDD|EDD|due diligence
Q37,RAO,intermediate,Sample intermediate question 37 for RAO?,"Gold-standard answer for RAO, intermediate level.",RAO 2001 art.25,regulated activity|arranging|advising
Q38,UK MAR,intermediate,Sample intermediate question 38 for UK MAR?,"Gold-standard answer for UK MAR, intermediate level.",UK MAR art.17,inside information|disclosure|issuer
Q39,PRIN,intermediate,Sample intermediate question 39 for PRIN?,"Gold-standard answer for PRIN, intermediate level.",PRIN 12,Consumer Duty|fair value|good outcomes
Q40,DISP,intermediate,Sample intermediate question 40 for DISP?,"Gold-standard answer for DISP, intermediate level.",DISP 1.6,complaint|ombudsman|final response
Q41,FSMA,intermediate,Sample intermediate question 41 for FSMA?,"Gold-standard answer for FSMA, intermediate level.",FSMA 2000 s.19,regulated activity|authorised|exempt
Q42,COMP,intermediate,Sample intermediate question 42 for COMP?,"Gold-standard answer for COMP, intermediate level.",COMP 10.2,"FSCS|£85,000|deposit protection"
Q43,COBS,intermediate,Sample intermediate question 43 for COBS?,"Gold-standard answer for COBS, intermediate level.",COBS 4.2.1R,financial promotion|clear|misleading
Q44,ICOBS,intermediate,Sample intermediate question 44 for ICOBS?,"Gold-standard answer for ICOBS, intermediate level.",ICOBS 7,insurance|cooling off|cancellation
Q45,PSR,intermediate,Sample intermediate question 45 for PSR?,"Gold-standard answer for PSR, intermediate level.",PSR 2017 reg.77,unauthorised payment|liability|refund
Q46,MLR,intermediate,Sample intermediate question 46 for MLR?,"Gold-standard answer for MLR, intermediate level.",MLR 2017 reg.27,CDD|EDD|due diligence
Q47,RAO,intermediate,Sample intermediate question 47 for RAO?,"Gold-standard answer for RAO, intermediate level.",RAO 2001 art.25,regulated activity|arranging|advising
Q48,UK MAR,intermediate,Sample intermediate question 48 for UK MAR?,"Gold-standard answer for UK MAR, intermediate level.",UK MAR art.17,inside information|disclosure|issuer
Q49,PRIN,intermediate,Sample intermediate question 49 for PRIN?,"Gold-standard answer for PRIN, intermediate level.",PRIN 12,Consumer Duty|fair value|good outcomes
Q50,DISP,intermediate,Sample intermediate question 50 for DISP?,"Gold-standard answer for DISP, intermediate level.",DISP 1.6,complaint|ombudsman|final response
Q51,FSMA,advanced,Sample advanced question 51 for FSMA?,"Gold-standard answer for FSMA, advanced level.",FSMA 2000 s.19,regulated activity|authorised|exempt
Q52,COMP,advanced,Sample advanced question 52 for COMP?,"Gold-standard answer for COMP, advanced level.",COMP 10.2,"FSCS|£85,000|deposit protection"
Q53,COBS,advanced,Sample advanced question 53 for COBS?,"Gold-standard answer for COBS, advanced level.",COBS 4.2.1R,financial promotion|clear|misleading
Q54,ICOBS,advanced,Sample advanced question 54 for ICOBS?,"Gold-standard answer for ICOBS, advanced level.",ICOBS 7,insurance|cooling off|cancellation
Q55,PSR,advanced,Sample advanced question 55 for PSR?,"Gold-standard answer for PSR, advanced level.",PSR 2017 reg.77,unauthorised payment|liability|refund
Q56,MLR,advanced,Sample advanced question 56 for MLR?,"Gold-standard answer for MLR, advanced level.",MLR 2017 reg.27,CDD|EDD|due diligence
Q57,RAO,advanced,Sample advanced question 57 for RAO?,"Gold-standard answer for RAO, advanced level.",RAO 2001 art.25,regulated activity|arranging|advising
Q58,UK MAR,advanced,Sample advanced question 58 for UK MAR?,"Gold-standard answer for UK MAR, advanced level.",UK MAR art.17,inside information|disclosure|issuer
Q59,PRIN,advanced,Sample advanced question 59 for PRIN?,"Gold-standard answer for PRIN, advanced level.",PRIN 12,Consumer Duty|fair value|good outcomes
Q60,DISP,advanced,Sample advanced question 60 for DISP?,"Gold-standard answer for DISP, advanced level.",DISP 1.6,complaint|ombudsman|final response
Q61,FSMA,advanced,Sample advanced question 61 for FSMA?,"Gold-standard answer for FSMA, advanced level.",FSMA 2000 s.19,regulated activity|authorised|exempt
Q62,COMP,advanced,Sample advanced question 62 for COMP?,"Gold-standard answer for COMP, advanced level.",COMP 10.2,"FSCS|£85,000|deposit protection"
Q63,COBS,advanced,Sample advanced question 63 for COBS?,"Gold-standard answer for COBS, advanced level.",COBS 4.2.1R,financial promotion|clear|misleading
Q64,ICOBS,advanced,Sample advanced question 64 for ICOBS?,"Gold-standard answer for ICOBS, advanced level.",ICOBS 7,insurance|cooling off|cancellation
Q65,PSR,advanced,Sample advanced question 65 for PSR?,"Gold-standard answer for PSR, advanced level.",PSR 2017 reg.77,unauthorised payment|liability|refund
Q66,MLR,advanced,Sample advanced question 66 for MLR?,"Gold-standard answer for MLR, advanced level.",MLR 2017 reg.27,CDD|EDD|due diligence
Q67,RAO,advanced,Sample advanced question 67 for RAO?,"Gold-standard answer for RAO, advanced level.",RAO 2001 art.25,regulated activity|arranging|advising
Q68,UK MAR,advanced,Sample advanced question 68 for UK MAR?,"Gold-standard answer for UK MAR, advanced level.",UK MAR art.17,inside information|disclosure|issuer
Q69,PRIN,advanced,Sample advanced question 69 for PRIN?,"Gold-standard answer for PRIN, advanced level.",PRIN 12,Consumer Duty|fair value|good outcomes
Q70,DISP,advanced,Sample advanced question 70 for DISP?,"Gold-standard answer for DISP, advanced level.",DISP 1.6,complaint|ombudsman|final response
Q71,FSMA,advanced,Sample advanced question 71 for FSMA?,"Gold-standard answer for FSMA, advanced level.",FSMA 2000 s.19,regulated activity|authorised|exempt
Q72,COMP,advanced,Sample advanced question 72 for COMP?,"Gold-standard answer for COMP, advanced level.",COMP 10.2,"FSCS|£85,000|deposit protection"
Q73,COBS,advanced,Sample advanced question 73 for COBS?,"Gold-standard answer for COBS, advanced level.",COBS 4.2.1R,financial promotion|clear|misleading
Q74,ICOBS,advanced,Sample advanced question 74 for ICOBS?,"Gold-standard answer for ICOBS, advanced level.",ICOBS 7,insurance|cooling off|cancellation
Q75,PSR,advanced,Sample advanced question 75 for PSR?,"Gold-standard answer for PSR, advanced level.",PSR 2017 reg.77,unauthorised payment|liability|refund
Q76,MLR,advanced,Sample advanced question 76 for MLR?,"Gold-standard answer for MLR, advanced level.",MLR 2017 reg.27,CDD|EDD|due diligence
Q77,RAO,advanced,Sample advanced question 77 for RAO?,"Gold-standard answer for RAO, advanced level.",RAO 2001 art.25,regulated activity|arranging|advising
Q78,UK MAR,advanced,Sample advanced question 78 for UK MAR?,"Gold-standard answer for UK MAR, advanced level.",UK MAR art.17,inside information|disclosure|issuer
Q79,PRIN,advanced,Sample advanced question 79 for PRIN?,"Gold-standard answer for PRIN, advanced level.",PRIN 12,Consumer Duty|fair value|good outcomes
Q80,DISP,advanced,Sample advanced question 80 for DISP?,"Gold-standard answer for DISP, advanced level.",DISP 1.6,complaint|ombudsman|final response
